"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2906,592450,"Judge, Aaron",2906,100,0.311,0.375,0.34,0.686,0.458,0.463,0.305,177,570,95.9,14.9,2247,88.8,88.85,370,1240,1666,0.10000000000000853,6.37,106,153,122,147,310,331,295,"-89.284","89.284",,,677,400,87,28,0,62,175,25.8,92,13.6,2.32619,0.61572,0.31899,0.06893,"94.2",172,61.904761904761905,26.56641604010025,15.657311669128507,5.74,-1.05,0.16,2.28,0.409,106,"3.072401927",0.405,0.706,"-3.072401927",0.006,0.003999999999999948,-0.02,-0.005,29.8,"38.2",,,,,,
2897,656555,"Hoskins, Rhys",2897,100,0.246,0.216,0.292,0.462,0.345,0.338,0.239,145,589,90.1,18.1,2244,89.2,89.16,312,1213,1684,0,6.34,108,153,122,147,300,324,295,"-21.943","21.943",,,672,424,80,33,2,30,169,25.1,72,10.7,2.2824,0.63856,0.31066,0.11111,"92.1",165,44.44444444444444,11.11111111111111,6.9940476190476195,5.87,-0.81,0.13,2.32,0.332,47,"0.75743873",0.327,0.445,"-0.75743873",0.007,0.0050000000000000044,0.017,0.007,25.7,"38.5",,,,,,
2893,621566,"Olson, Matt",2893,100,0.24,0.237,0.274,0.477,0.344,0.347,0.248,148,616,92.8,15.9,2238,89.1,89.25,414,1433,1460,0.20000000000000284,6.38,117,165,134,151,302,327,303,"-19.236","19.236",,,693,450,70,44,0,34,170,24.5,69,10,2.32034,0.60995,0.32419,-0.15273,"92.8",170,51.00222717149221,13.585746102449889,8.802308802308803,5.78,-0.66,-0.18,2.35,0.319,61,"0.664915313",0.328,0.467,"-0.664915313",-0.008,-0.009000000000000008,0.01,-0.003,28.9,"36.8",,,,,,
2878,656941,"Schwarber, Kyle",2878,100,0.218,0.286,0.24,0.504,0.355,0.375,0.237,126,577,92.9,18.9,2217,88.9,88.91,343,1168,1710,0,6.31,118,167,129,153,294,324,303,"-27.118","27.118",,,666,379,56,21,3,46,200,30,83,12.5,2.34753,0.58795,0.3359,-0.12644,"94.0",169,54.4973544973545,20.105820105820104,11.411411411411411,5.87,-0.52,-0.2,2.26,0.32,76,"0.942251564",0.338,0.535,"-0.942251564",-0.019,-0.018000000000000016,-0.031,-0.02,29.4,"38.5",,,,,,
2829,596019,"Lindor, Francisco",2829,100,0.27,0.179,0.301,0.449,0.342,0.331,0.254,170,630,89.2,13.7,2227,88.9,88.86,310,1352,1477,0,6.33,111,152,117,147,294,322,298,"-26.755","26.755",,,704,504,114,25,5,26,133,18.9,57,8.1,2.35264,0.58871,0.36218,-0.36218,"92.0",156,41.35188866799205,8.34990059642147,5.965909090909091,5.74,-0.78,-0.1,2.28,0.337,42,"0.945740544",0.324,0.427,"-0.945740544",0.016,0.013000000000000012,0.022,0.011,22.9,"36.9",,,,,,
2790,595777,"Profar, Jurickson",2790,100,0.243,0.148,0.272,0.391,0.32,0.315,0.251,140,575,87,12.7,2220,88.9,88.76,229,1217,1573,-0.10000000000000853,6.28,113,153,115,149,295,321,296,"-1.662","1.662",,,658,478,87,36,2,15,103,15.7,73,11.1,2.31561,0.62594,0.41306,-0.41306,"91.4",150,34.30962343096235,3.9748953974895396,2.8875379939209727,5.71,-0.69,-0.12,2.31,0.331,19,"0.059569892",0.34,0.359,"-0.059569892",-0.008,-0.009000000000000008,0.032,0.005,18.8,"37.2",,,,,,
2781,607043,"Nimmo, Brandon",2781,100,0.274,0.159,0.317,0.433,0.353,0.338,0.256,159,580,88.5,6,2234,90,90,238,1217,1564,0,6.34,116,150,108,150,287,319,302,"-33.819","33.819",,,673,470,106,30,7,16,116,17.2,71,10.5,2.16113,0.69825,0.46918,-0.17421,"91.7",148,39.95726495726496,7.051282051282051,4.903417533432393,5.77,-0.57,-0.13,2.32,0.367,33,"1.216073355",0.353,0.403,"-1.216073355",0.018,0.014000000000000012,0.03,0.015,19.6,"37.4",,,,,,
2776,543760,"Semien, Marcus",2776,100,0.248,0.181,0.263,0.429,0.317,0.306,0.243,163,657,87.3,19.9,2262,88.5,88.28,270,1310,1466,-0.20000000000000284,6.24,107,153,119,145,303,327,293,"-14.419","14.419",,,724,547,101,31,5,26,120,16.6,53,7.3,2.32511,0.63933,0.26515,-0.05912,"91.3",164,34.91773308957952,6.764168190127971,5.110497237569061,5.85,-0.67,0.3,2.28,0.304,37,"0.519416427",0.301,0.394,"-0.519416427",0.005,0.0030000000000000027,0.035,0.011,20.6,"39.3",,,,,,
2765,665742,"Soto, Juan",2765,100,0.242,0.21,0.249,0.452,0.376,0.401,0.266,127,524,90.9,8.9,2209,89.2,89.22,190,981,1784,0,6.35,116,157,130,151,298,324,309,"-40.98","40.98",,,658,428,73,25,2,27,96,14.6,129,19.6,2.37341,0.54033,0.41765,-0.18706,"93.2",157,47.429906542056074,12.383177570093459,8.054711246200608,5.73,-0.52,-0.19,2.18,0.396,53,"1.482097649",0.415,0.501,"-1.482097649",-0.024,-0.01899999999999996,-0.049,-0.025,19.4,"36.2",,,,,,
2755,518692,"Freeman, Freddie",2755,100,0.325,0.186,0.359,0.511,0.393,0.4,0.31,199,612,91.3,13.6,2217,89.3,89.35,264,1357,1398,0.10000000000000853,6.3,116,158,130,151,297,324,306,"-46.485","46.485",,,696,517,129,47,2,21,102,14.7,72,10.3,2.29813,0.59812,0.38622,-0.23399,"91.9",170,47.96116504854369,9.902912621359224,7.327586206896551,5.69,-0.7,-0.1,2.36,0.397,51,"1.687295826",0.387,0.535,"-1.687295826",0.015,0.010000000000000009,-0.024,-0.007,19.5,"35.6",,,,,,
